ask_price,ask_whole_lot_volume,ask_lot_volume,bid_price,bid_whole_lot_volume,bit_lot_volume,close_price,close_volume
37374.50000,1,1.000,37361.90000,1,1.000,37371.30000,0.00400000
37374.50000,1,1.000,37361.90000,1,1.000,37371.30000,0.00400000
37374.50000,1,1.000,37367.60000,1,1.000,37371.30000,0.00400000
37400.00000,1,1.000,37399.90000,2,2.000,37371.30000,0.00400000
37400.00000,1,1.000,37399.90000,2,2.000,37371.30000,0.00400000
37400.00000,1,1.000,37399.90000,2,2.000,37371.30000,0.00400000
37430.70000,1,1.000,37403.70000,1,1.000,37371.30000,0.00400000
37379.50000,2,2.000,37379.40000,1,1.000,37371.30000,0.00400000
37363.30000,1,1.000,37355.20000,1,1.000,37371.30000,0.00400000
37363.20000,1,1.000,37355.30000,1,1.000,37363.20000,0.01734468
37355.30000,2,2.000,37355.20000,1,1.000,37363.20000,0.01734468
37355.30000,3,3.000,37355.20000,1,1.000,37363.20000,0.01734468
37355.30000,5,5.000,37355.20000,1,1.000,37355.30000,0.20000000
37342.80000,1,1.000,37332.00000,1,1.000,37355.00000,0.00100000
37355.00000,1,1.000,37331.90000,1,1.000,37355.30000,0.20000000
37343.90000,1,1.000,37332.10000,1,1.000,37344.00000,0.05600000
37338.60000,2,2.000,37332.00000,1,1.000,37344.00000,0.05600000
37332.10000,2,2.000,37332.00000,1,1.000,37344.00000,0.05600000
37332.10000,2,2.000,37332.00000,1,1.000,37344.00000,0.05600000
37332.10000,2,2.000,37332.00000,1,1.000,37344.00000,0.05600000
37313.80000,3,3.000,37313.70000,1,1.000,37313.80000,0.04018000
37313.90000,2,2.000,37313.70000,1,1.000,37332.00000,0.00137208
37313.80000,3,3.000,37313.70000,1,1.000,37313.80000,0.04018000
37327.70000,1,1.000,37314.20000,1,1.000,37333.40000,0.16706002
37313.90000,2,2.000,37313.80000,1,1.000,37333.40000,0.16706002
37332.60000,1,1.000,37302.20000,1,1.000,37296.00000,0.05980029
37313.90000,2,2.000,37313.80000,1,1.000,37296.00000,0.05980029
37313.90000,3,3.000,37313.80000,1,1.000,37296.00000,0.05980029
37289.50000,4,4.000,37277.00000,1,1.000,37313.80000,0.00702531
37289.50000,1,1.000,37287.80000,1,1.000,37289.50000,0.04019960
37299.70000,1,1.000,37285.60000,1,1.000,37289.50000,0.04019960
37288.80000,2,2.000,37288.70000,1,1.000,37289.50000,0.04019960
37288.80000,2,2.000,37288.70000,1,1.000,37289.50000,0.04019960
37300.00000,2,2.000,37293.80000,1,1.000,37289.50000,0.04019960
37300.00000,2,2.000,37293.80000,1,1.000,37289.50000,0.04019960
37300.00000,2,2.000,37286.70000,1,1.000,37295.60000,0.01957758
37295.60000,3,3.000,37295.50000,1,1.000,37295.60000,0.01957758
37299.90000,1,1.000,37286.70000,1,1.000,37295.60000,0.01957758
37294.80000,1,1.000,37294.70000,1,1.000,37300.00000,0.00013085
37300.00000,1,1.000,37289.00000,1,1.000,37300.00000,0.00013085
37294.80000,2,2.000,37294.70000,1,1.000,37300.00000,0.00013085
37308.10000,4,4.000,37308.00000,1,1.000,37300.00000,0.24544774
37308.10000,4,4.000,37301.90000,1,1.000,37300.00000,0.24544774
37308.10000,4,4.000,37308.00000,1,1.000,37300.00000,0.24544774
37355.90000,1,1.000,37319.90000,1,1.000,37316.10000,0.09000000
37372.10000,1,1.000,37345.10000,1,1.000,37316.10000,0.09000000
37372.10000,1,1.000,37345.10000,1,1.000,37316.10000,0.09000000
37394.90000,5,5.000,37394.80000,1,1.000,37372.00000,0.29000000
